collection_timestamp,source,success,parsed_items,fresh_countries,error
2026-09-19T07:57:02.256261+00:00,Prometheus,True,13,7,
2026-09-19T08:18:23.298049+00:00,YATA,True,13,7,
2026-09-19T08:18:23.298049+00:00,Prometheus,True,13,7,
2026-09-19T08:34:30.596443+00:00,YATA,True,13,7,
2026-09-19T08:34:30.596443+00:00,Prometheus,True,13,7,
2026-09-19T08:49:02.743273+00:00,YATA,True,13,7,
2026-09-19T08:49:02.743273+00:00,Prometheus,True,13,7,
2026-09-19T09:02:50.881168+00:00,YATA,True,13,7,
2026-09-19T09:02:50.881168+00:00,Prometheus,True,13,7,
2026-09-19T09:21:12.637452+00:00,YATA,True,13,7,
2026-09-19T09:21:12.637452+00:00,Prometheus,True,13,7,
2026-09-19T09:37:07.759754+00:00,YATA,True,13,7,
2026-09-19T09:37:07.759754+00:00,Prometheus,True,13,7,
2026-09-19T09:50:28.657197+00:00,YATA,True,13,7,
2026-09-19T09:50:28.657197+00:00,Prometheus,True,13,7,
2026-09-19T10:05:57.054188+00:00,YATA,True,13,7,
2026-09-19T10:05:57.054188+00:00,Prometheus,True,13,7,
2026-09-19T10:23:22.491525+00:00,YATA,True,13,7,
2026-09-19T10:23:22.491525+00:00,Prometheus,True,13,7,
2026-09-19T10:38:54.688486+00:00,YATA,True,13,7,
2026-09-19T10:38:54.688486+00:00,Prometheus,True,13,7,
2026-09-19T10:51:12.601487+00:00,YATA,True,13,7,
2026-09-19T10:51:12.601487+00:00,Prometheus,True,13,7,
2026-09-19T11:06:42.005189+00:00,YATA,True,13,7,
2026-09-19T11:06:42.005189+00:00,Prometheus,True,13,7,
2026-09-19T11:23:11.533086+00:00,YATA,True,13,7,
2026-09-19T11:23:11.533086+00:00,Prometheus,True,13,7,
2026-09-19T11:38:06.415714+00:00,YATA,True,13,7,
2026-09-19T11:38:06.415714+00:00,Prometheus,True,13,7,
2026-09-19T11:50:56.179373+00:00,YATA,True,13,7,
2026-09-19T11:50:56.179373+00:00,Prometheus,True,13,7,
2026-09-19T12:07:54.874592+00:00,YATA,True,13,7,
2026-09-19T12:07:54.874592+00:00,Prometheus,True,13,7,
2026-09-19T12:29:59.968642+00:00,YATA,True,13,7,
2026-09-19T12:29:59.968642+00:00,Prometheus,True,13,7,
2026-09-19T12:47:22.527272+00:00,YATA,True,13,7,
2026-09-19T12:47:22.527272+00:00,Prometheus,True,13,7,
2026-09-19T13:00:10.843983+00:00,YATA,True,13,7,
2026-09-19T13:00:10.843983+00:00,Prometheus,True,13,7,
2026-09-19T13:19:27.830231+00:00,YATA,True,13,7,
2026-09-19T13:19:27.830231+00:00,Prometheus,True,13,7,
2026-09-19T13:33:54.792827+00:00,YATA,True,13,7,
2026-09-19T13:33:54.792827+00:00,Prometheus,True,13,7,
2026-09-19T13:46:49.374900+00:00,YATA,True,13,7,
2026-09-19T13:46:49.374900+00:00,Prometheus,True,13,7,
2026-09-19T13:59:16.406910+00:00,YATA,True,13,7,
2026-09-19T13:59:16.406910+00:00,Prometheus,True,13,7,
2026-09-19T14:18:09.249241+00:00,YATA,True,13,7,
2026-09-19T14:18:09.249241+00:00,Prometheus,True,13,7,
2026-09-19T14:32:55.488510+00:00,YATA,True,13,7,
2026-09-19T14:32:55.488510+00:00,Prometheus,True,13,7,
2026-09-19T14:45:24.742742+00:00,YATA,True,13,7,
2026-09-19T14:45:24.742742+00:00,Prometheus,True,13,7,
2026-09-19T14:57:52.734767+00:00,YATA,True,13,7,
2026-09-19T14:57:52.734767+00:00,Prometheus,True,13,7,
2026-09-19T15:16:53.996097+00:00,YATA,True,13,7,
2026-09-19T15:16:53.996097+00:00,Prometheus,True,13,7,
2026-09-19T15:31:46.846031+00:00,YATA,True,13,7,
2026-09-19T15:31:46.846031+00:00,Prometheus,True,13,7,
2026-09-19T15:45:11.221663+00:00,YATA,True,13,7,
2026-09-19T15:45:11.221663+00:00,Prometheus,True,13,7,
2026-09-19T15:58:04.049649+00:00,YATA,True,13,7,
2026-09-19T15:58:04.049649+00:00,Prometheus,True,13,7,
2026-09-19T16:17:55.495845+00:00,YATA,True,13,7,
2026-09-19T16:17:55.495845+00:00,Prometheus,True,13,7,
2026-09-19T16:33:17.508582+00:00,YATA,True,13,7,
2026-09-19T16:33:17.508582+00:00,Prometheus,True,13,7,
2026-09-19T16:46:10.868489+00:00,YATA,True,13,7,
2026-09-19T16:46:10.868489+00:00,Prometheus,True,13,7,
2026-09-19T16:58:39.143427+00:00,YATA,True,13,7,
2026-09-19T16:58:39.143427+00:00,Prometheus,True,13,7,
2026-09-19T17:16:25.831031+00:00,YATA,True,13,7,
2026-09-19T17:16:25.831031+00:00,Prometheus,True,13,7,
2026-09-19T17:30:02.715590+00:00,YATA,True,13,7,
2026-09-19T17:30:02.715590+00:00,Prometheus,True,13,7,
2026-09-19T17:43:06.174553+00:00,YATA,True,13,7,
2026-09-19T17:43:06.174553+00:00,Prometheus,True,13,7,
2026-09-19T17:55:26.658788+00:00,YATA,True,13,7,
2026-09-19T17:55:26.658788+00:00,Prometheus,True,13,7,
2026-09-19T18:17:22.756591+00:00,YATA,True,13,7,
2026-09-19T18:17:22.756591+00:00,Prometheus,True,13,7,
2026-09-19T18:34:19.626281+00:00,YATA,True,13,7,
2026-09-19T18:34:19.626281+00:00,Prometheus,True,13,7,
2026-09-19T18:49:09.227952+00:00,YATA,True,13,7,
2026-09-19T18:49:09.227952+00:00,Prometheus,True,13,7,
2026-09-19T19:02:31.620708+00:00,YATA,True,13,7,
2026-09-19T19:02:31.620708+00:00,Prometheus,True,13,7,
2026-09-19T19:17:53.210232+00:00,YATA,True,13,7,
2026-09-19T19:17:53.210232+00:00,Prometheus,True,13,7,
2026-09-19T19:30:32.674912+00:00,YATA,True,13,7,
2026-09-19T19:30:32.674912+00:00,Prometheus,True,13,7,
2026-09-19T19:43:17.367593+00:00,YATA,True,13,7,
2026-09-19T19:43:17.367593+00:00,Prometheus,True,13,7,
2026-09-19T19:55:38.202175+00:00,YATA,True,13,7,
2026-09-19T19:55:38.202175+00:00,Prometheus,True,13,7,
2026-09-19T20:15:26.005913+00:00,YATA,True,13,7,
2026-09-19T20:15:26.005913+00:00,Prometheus,True,13,7,
